name,image,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
"...and then, we held hands.",https://cf.geekdo-images.com/Ft08woV-KG3HHfO-ET6S4Q__original/img/x7YkL7sqFAt2LAxgPx3MEv3ZMNI=/0x0/filters:format(jpeg)/pic2717772.jpg,2,2,45,2015,6.01599,1,"Abstract, Card Game"
10 Down,https://cf.geekdo-images.com/mXagRMef_UNguuTh6SGfvA__original/img/vGoASJKUAD6_fokRCUN19hSLTNw=/0x0/filters:format(jpeg)/pic2641330.jpg,3,5,20,2015,6.09524,0,Card Game
13 Clues,https://cf.geekdo-images.com/5Pr1akvb5-vMJB5Lvabi6w__original/img/ySz5OVSRpGAgehf69x4oFok2eYM=/0x0/filters:format(png)/pic5663962.png,2,6,30,2016,6.61158,14,"Family, Deduction, Memory, Murder/Mystery"
5-Minute Dungeon,https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__original/img/Pi321k82TYCMy0v6GqKZ3LHvBYM=/0x0/filters:format(png)/pic3213622.png,2,5,30,2017,6.93016,2,
7 Wonders,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__original/img/jt70jJDZ1y1FWJs4ZQf5FI8APVY=/0x0/filters:format(jpeg)/pic7149798.jpg,2,7,30,2010,7.68692,7,
7 Wonders Duel,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg,2,2,30,2015,8.09571,38,
Agra,https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__original/img/04eMY8p7oP_tzCMfyzR2VdFWDNI=/0x0/filters:format(jpeg)/pic3621105.jpg,2,4,120,2017,7.29896,2,
Alchemists,https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__original/img/SP4ItZ27dLweUPbz_bF7C-P7GtA=/0x0/filters:format(png)/pic2241156.png,2,4,120,2014,7.6486,2,"Strategy, Deduction, Fantasy"
Alhambra: Big Box,https://cf.geekdo-images.com/qZcmQvAUH6JJTpwGlqPwAA__original/img/c0OEuXcT_kd-y9aZ3ljE5wXOw74=/0x0/filters:format(jpeg)/pic535726.jpg,2,6,60,2009,7.49415,0,"Family, Strategy, City Building, Card Drafting"
Alien Artifacts,https://cf.geekdo-images.com/bQ0n-lmFt6_V4fcC_Di2Yw__original/img/23_WD9hYgxKAaTWfurtoPSYd46Y=/0x0/filters:format(jpeg)/pic3671706.jpg,2,5,60,2017,6.56208,2,
Alien Frontiers,https://cf.geekdo-images.com/UWZTWLXFfg_6HpXJmviL3g__original/img/1EiMWmB4iGMDRbaXuvZQtlszM_Q=/0x0/filters:format(png)/pic3360924.png,2,4,90,2010,7.36167,1,"Strategy, Dice, Science Fiction"
Amerigo,https://cf.geekdo-images.com/CPTCRbcUGvW-gepKwTvjSg__original/img/s0CSe2HK5xYB5aFR3WUqJAZRAn8=/0x0/filters:format(jpeg)/pic1824151.jpg,2,4,90,2013,7.44497,5,"Strategy, Nautical, Renaissance, Euro"
Anachrony,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__original/img/3KfMPSj7jjhG0g5lQBsO-bn67D0=/0x0/filters:format(jpeg)/pic3499707.jpg,1,4,120,2017,8.07837,0,"Strategy, Economic, Science Fiction, Worker Placement"
Ancestree,https://cf.geekdo-images.com/MHYlXIDhmuTrqhwaSGxYjg__original/img/EF3w6cKdtaM0qzAoe2Lttb7tXN8=/0x0/filters:format(jpeg)/pic3639106.jpg,2,6,20,2017,6.21823,4,
The Ancient World (Second Edition),https://cf.geekdo-images.com/xpFKs3YjPxB6rw1uK7Hx0A__original/img/mqLUrPMjQoZ9MpxOSbf2OS2ug08=/0x0/filters:format(jpeg)/pic4286631.jpg,2,4,90,2019,7.55087,0,
AquaSphere,https://cf.geekdo-images.com/K7Hq_KDgr8jJHMtW21XcfQ__original/img/PckhyT2sfyT93TPkIRyKrvPpPMs=/0x0/filters:format(jpeg)/pic2197124.jpg,2,4,100,2014,7.25578,3,"Strategy, Nautical, Science Fiction, Euro, Worker Placement, Area Control"
Arboretum,https://cf.geekdo-images.com/XYOn10oXBrDqHySf0jvnyQ__original/img/RMi0pEsP8agfH-tgYkeRGilD3oo=/0x0/filters:format(png)/pic4172124.png,2,4,30,2015,7.2987,5,
Arcane Academy,https://cf.geekdo-images.com/rQZHip8vqrS_kZVrz8X_Ig__original/img/dPXA6Wy3Edf6s-CFBrDUEi9w0ls=/0x0/filters:format(png)/pic2971623.png,2,4,45,2016,6.71798,1,"Fantasy, Card Drafting, Tile Placement"
Arena: For the Gods!,https://cf.geekdo-images.com/0aK3tK89_FFAW2ADgKlQLg__original/img/uxAAItPY9xTjOjLW4ng5l6P2OBM=/0x0/filters:format(jpeg)/pic3613441.jpg,2,6,40,2017,6.45339,0,"Dice, Fighting, Mythology"
Ark Nova,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg,1,4,150,2021,8.53734,105,"Strategy, Economic, Animals, Environmental, Card Drafting"
Art Decko,https://cf.geekdo-images.com/c78Zx5dX-Hbt8BSp6q2gCQ__original/img/sp-breb7dN0rnXM0ego2lbsF7HI=/0x0/filters:format(jpeg)/pic6155316.jpg,2,4,60,2021,6.92168,27,
Awkward Guests: The Walton Case,https://cf.geekdo-images.com/Awopfw5_5Qyh-7YcSbtudA__original/img/GxYtTK43oCTDn2J3pyukUw07bKo=/0x0/filters:format(jpeg)/pic4870482.jpg,1,8,75,2016,7.58892,18,"Family, Deduction, Murder/Mystery"
Azul,https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__original/img/AkbtYVc6xXJF3c9EUrakklcclKw=/0x0/filters:format(png)/pic6973671.png,2,4,45,2017,7.75598,221,"Abstract, Family"
Azul: Queen's Garden,https://cf.geekdo-images.com/l-NBWJ1gIcfOCfrvAw8qvw__original/img/VaPUWBlEE3Wg_QGYAsHxKV8mBkw=/0x0/filters:format(jpeg)/pic6389125.jpg,2,4,60,2021,7.50761,3,"Abstract, Family"
Azul: Stained Glass of Sintra,https://cf.geekdo-images.com/RrYR1xB8H7D1B5GwNV8jgQ__original/img/unI8OEWp9Fdv3D_dLahPPdLG1qc=/0x0/filters:format(jpeg)/pic4212417.jpg,2,4,45,2018,7.31561,26,"Abstract, Family"
Azul: Summer Pavilion,https://cf.geekdo-images.com/843kZ6WR0HfyXWEybA6L7A__original/img/VtYGvhy_YCSw14FpV8FGzv0eMe4=/0x0/filters:format(jpeg)/pic4930887.jpg,2,4,45,2019,7.64607,5,
Babylonia,https://cf.geekdo-images.com/XKdSpV2ZTdOEd0NXy3Ig1Q__original/img/Q4u1KwykZGb21eEf0-QLwPx-DQ0=/0x0/filters:format(jpeg)/pic4657338.jpg,2,4,60,2019,7.68015,2,
Barrage,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__original/img/rkHKwkUqpQC7PAGG7n2gbrcQiUY=/0x0/filters:format(png)/pic4336469.png,1,4,120,2019,8.17524,2,
Barrage,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__original/img/rkHKwkUqpQC7PAGG7n2gbrcQiUY=/0x0/filters:format(png)/pic4336469.png,1,4,120,2019,8.17524,2,
Between Two Castles of Mad King Ludwig,https://cf.geekdo-images.com/IwczsFUMHhIyI_39wFaHWw__original/img/jHHxcaBR6CKa16JvSEd5nY0MOsI=/0x0/filters:format(jpeg)/pic4285717.jpg,2,7,60,2018,7.24231,5,
Beyond the Sun,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__original/img/h2NEwLqn5mNkcEfMdP_8oMWa9KE=/0x0/filters:format(jpeg)/pic5617866.jpg,2,4,120,2020,7.94352,22,
Biblios,https://cf.geekdo-images.com/w9pHmbMbHEFYtuOUcWcruA__original/img/jOmzNb1JROlzeqEmCDScX_IkHVU=/0x0/filters:format(jpeg)/pic759154.jpg,2,4,30,2007,7.19883,9,"Family, Strategy, Card Game, Medieval"
Blood Rage,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__original/img/Myy6IPDJDzLoPdXrPXVZcddBQoQ=/0x0/filters:format(jpeg)/pic2439223.jpg,2,4,90,2015,7.93552,9,"Strategy, Fantasy, Fighting, Mythology, Area Control, Card Drafting, Minis"
Bohnanza,https://cf.geekdo-images.com/8SADtu_4zBH_UJrCo935Iw__original/img/RNuAr2CDbxE3XzeJVkxj4Df3eVM=/0x0/filters:format(jpeg)/pic6348964.jpg,2,7,45,1997,7.05441,4,"Family, Card Game, Farming, Negotiation, Set Collecting, Trading"
Bora Bora,https://cf.geekdo-images.com/9YEjZIVdWVcUVWC7o8aKsQ__original/img/FmxZfRUytUU35lwbNkTetKJT6YM=/0x0/filters:format(jpeg)/pic1542342.jpg,2,4,120,2013,7.55408,0,
Brass: Birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,2,4,120,2018,8.6005,8,
Brass: Lancashire,https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__original/img/3ffdJj5Pz6HQrg09Kh8ecTen-TY=/0x0/filters:format(jpeg)/pic3469216.jpg,2,4,120,2007,8.19125,1,
Brew,https://cf.geekdo-images.com/8eN5t1p4ncee-eVN9NswDA__original/img/Hhv8kruqZZH1vv5W7gR7QXNZ_KM=/0x0/filters:format(png)/pic6007253.png,2,4,90,2021,7.10182,3,
Brook City,https://cf.geekdo-images.com/LLP630IPFkJyrZjM-XDkrw__original/img/_peoS6gDezAAomo6phD9Qs8rNPg=/0x0/filters:format(jpeg)/pic3948212.jpg,1,4,120,2019,7.27463,0,
Broom Service,https://cf.geekdo-images.com/PcxTKtTwov2vxkZZbRVDAw__original/img/kjg4hSkTE2a8MKlkZNgTGqfKqgc=/0x0/filters:format(jpeg)/pic2546156.jpg,2,5,75,2015,7.16744,9,
Calico,https://cf.geekdo-images.com/6O6HqeMY6z1MPPKKVKp93g__original/img/T8BDrCwo9eklFz5wnThjDYRC4ZE=/0x0/filters:format(jpeg)/pic7714854.jpg,1,4,45,2020,7.55043,4,
Camel Up,https://cf.geekdo-images.com/1ph2jVOD1MudR1fK1nkwwA__original/img/73QLoWe-ejV9mijfd7HWZwns51A=/0x0/filters:format(png)/pic2031446.png,2,8,30,2014,7.04119,4,
Camel Up (Second Edition),https://cf.geekdo-images.com/pRZrHJNoPQ3gay9EkpuZLw__original/img/VHOeHhfYK3n-wYSP0G9RT26U0uQ=/0x0/filters:format(jpeg)/pic4304741.jpg,3,8,45,2018,7.58061,3,"Family, Dice, Racing, Betting"
Capital Lux,https://cf.geekdo-images.com/JRN0PKggKtitvoKXOtw96w__original/img/0ix-g7a__Dky9XPN0a3FTyud1H8=/0x0/filters:format(jpeg)/pic3121734.jpg,2,4,30,2016,7.00088,5,
Carcassonne,https://cf.geekdo-images.com/okM0dq_bEXnbyQTOvHfwRA__original/img/aVZEXAI-cUtuunNfPhjeHlS4fwQ=/0x0/filters:format(png)/pic6544250.png,2,5,45,2000,7.41068,12,
Carnegie,https://cf.geekdo-images.com/0qxz9DRRhsJrIW1TJ-kz0w__original/img/PzsJsCLfGGo4IG3v43VPvH_etPw=/0x0/filters:format(jpeg)/pic5710736.jpg,1,4,120,2022,8.03662,4,
CATAN,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__original/img/xV7oisd3RQ8R-k18cdWAYthHXsA=/0x0/filters:format(jpeg)/pic2419375.jpg,3,4,120,1995,7.1004,20,"Family, Strategy, Economic, Negotiation, Dice, Trading"
CATAN: Cities & Knights,https://cf.geekdo-images.com/XVjc87_UzjIhagFeO4r8ew__original/img/EjqC0K9hK6XJOEkF6Hmaz3MKndI=/0x0/filters:format(jpeg)/pic2420315.jpg,3,4,150,1998,7.44732,47,"Family, Strategy, Economic, Negotiation, Dice, Trading"
Century: Eastern Wonders,https://cf.geekdo-images.com/l1xKAcYniMJQNq60H5DdEA__original/img/S37tZ3Ph0N2rryfkjcpgmU4qmCY=/0x0/filters:format(jpeg)/pic3898507.jpg,2,4,45,2018,7.12463,6,
Century: Golem Edition,https://cf.geekdo-images.com/1bihoShOuqaCuZJXB3Q2gQ__original/img/fvGzpqyud6Oz1BWOe4gItWWb8P0=/0x0/filters:format(jpeg)/pic3936124.jpg,2,5,45,2017,7.60259,1,
Century: A New World,https://cf.geekdo-images.com/KJQ1TdlDkLeCfQ3PK75rTA__original/img/h8SUiPGdnSyUriRaLPMqMCFkPD4=/0x0/filters:format(jpeg)/pic4547312.jpg,2,4,45,2019,7.32865,1,
Century: Spice Road,https://cf.geekdo-images.com/0_KEDk4lCvryf1Ju3YQJxA__original/img/zv58Iylm_N8nfVFgRkMVM0Q9Fh8=/0x0/filters:format(jpeg)/pic3339551.jpg,2,5,45,2017,7.30896,27,
Cerebria: The Inside World,https://cf.geekdo-images.com/xZ6CZ8_J4CEwR7TT8_3hKw__original/img/7Ni8b05mJH5CcKoFVbRlYrOnR1g=/0x0/filters:format(png)/pic3568532.png,1,4,120,2018,7.75776,2,
Chai,https://cf.geekdo-images.com/wMd7npCj8VObsqMVK5kawg__original/img/Ffu3d_UNX6tVFbEqk_c7TIdNb3U=/0x0/filters:format(jpeg)/pic4175159.jpg,1,5,60,2019,6.76748,1,
Chakra,https://cf.geekdo-images.com/KJ7S0Cv32wJ0CdBHj7gwcg__original/img/vG6URdrXyXDswE7wlggu9lBTze8=/0x0/filters:format(jpeg)/pic4487174.jpg,1,4,30,2019,6.87986,34,"Family, Abstract Strategy, Set Collection, Gems"
Charterstone,https://cf.geekdo-images.com/yKjDaHQiv28iqtzDxfQOZQ__original/img/TBiQWuVmimy-SBNrsBheCAspf78=/0x0/filters:format(jpeg)/pic3322613.jpg,1,6,75,2017,7.22022,12,"Strategy, Worker Placement, Family, Economic, Medieval, Legacy"
Chinatown,https://cf.geekdo-images.com/QnIOe-1wb8_zuxglKjAwOQ__original/img/KVIx8Af2rXVkyaUA8lxjl_H1aWc=/0x0/filters:format(png)/pic2037509.png,3,5,60,1999,7.42753,3,
Chronicles of Crime,https://cf.geekdo-images.com/1BMyuEwK0zV9005oYinYLw__original/img/3OigysLof9HIk4jvV79Cm-tb-gY=/0x0/filters:format(jpeg)/pic4317519.jpg,1,4,90,2018,7.59795,4,"Adventure, Deduction, Murder/Mystery, Coop, Scenario/Campaign"
Citadels,https://cf.geekdo-images.com/42iW4E-vOumFXRQAiSf-GA__original/img/ochY5pK4sq4vtzkka0OPRwsGLOE=/0x0/filters:format(jpeg)/pic3239104.jpg,2,8,60,2000,7.0635,0,"Family, Strategy, Bluffing, Card Game, City Building, Deduction, Fantasy, Medieval, Card Drafting"
City of the Big Shoulders,https://cf.geekdo-images.com/JImiygpumS35fVxlfsRPXw__original/img/7uft3DL-UNgIE2MQ_B_RbdsBQKw=/0x0/filters:format(jpeg)/pic4223934.jpg,2,4,180,2019,7.76524,2,
Civilization: A New Dawn,https://cf.geekdo-images.com/S0GM2Mxfh8Tmvsdeog0W0g__original/img/VAuHAXQZXWYFXlwbPqbwmmiSv_w=/0x0/filters:format(jpeg)/pic3764168.jpg,2,4,120,2017,7.25979,2,
Clans of Caledonia,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__original/img/GcuvCavv-ZZP5_O1kCTrZELuZdY=/0x0/filters:format(png)/pic3511783.png,1,4,120,2017,7.94758,34,"Strategy, Economic, Farming, Market"
Cloud City,https://cf.geekdo-images.com/67-fm8SzCD8JWbNdzqNTSw__original/img/D7x1pEldrxs2yblAOfF5jzEB5m0=/0x0/filters:format(jpeg)/pic5528619.jpg,2,4,60,2020,6.49884,31,
Cockroach Poker,https://cf.geekdo-images.com/lHadyVLPUQfNz_qV6MMp_Q__original/img/qN8xusrxWyTJfgq1gTUWrdE4B2I=/0x0/filters:format(jpeg)/pic3218988.jpg,2,6,20,2004,6.79271,2,
Cockroach Salad,https://cf.geekdo-images.com/RTPjvs-e_CR8twqHhHyqYw__original/img/Be4Jswf1E3t5Ubq5DIZ6I9jQ7EI=/0x0/filters:format(jpeg)/pic2303528.jpg,2,6,20,2007,6.13879,0,"Family, Party, Dexterity, Card Game, Bluffing"
Codenames,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg,2,8,15,2015,7.54654,38,
Codenames: Disney â€“ Family Edition,https://cf.geekdo-images.com/Y05zcr91wl8oUEP6ULAnVg__original/img/GJnZkFmcNxm3SWShmXIO_3bdPAo=/0x0/filters:format(jpeg)/pic3626220.jpg,2,8,15,2017,6.62558,5,
Codenames: Duet,https://cf.geekdo-images.com/0d1EaMVmAiIBROI2QstFSQ__original/img/udyeiYgfDrEymxhfgtqODm0GwwA=/0x0/filters:format(jpeg)/pic3596681.jpg,2,2,30,2017,7.44774,3,
Codenames: Marvel,https://cf.geekdo-images.com/l2rKyxmlUN6r_ZAkP3ZS_g__original/img/8zPqRp-T10GznL7jhgQCMtqpVbA=/0x0/filters:format(jpeg)/pic3626219.jpg,2,8,15,2017,6.20076,2,
Coimbra,https://cf.geekdo-images.com/JJFHx0RiUBYdy9bHAgVSuA__original/img/zwcZQov_aUfBN0z9J9PzsJqomeI=/0x0/filters:format(jpeg)/pic3956079.jpg,2,4,90,2018,7.62317,4,
Coloretto,https://cf.geekdo-images.com/pd3qaiROSgTJ5js_0e4Nhw__original/img/W1cSDjB5Bi9bGhl3VRxQSP_Vw54=/0x0/filters:format(png)/pic6653783.png,2,5,30,2003,6.97867,22,"Family, Card Game, Animals"
Concept,https://cf.geekdo-images.com/hHFs0_KRoW_FJ0cMIVgZcw__original/img/vbR7Wrdlq4fPcwUE1Ck9CowlJHY=/0x0/filters:format(jpeg)/pic4991925.jpg,4,12,40,2013,6.76539,3,
Concordia,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__original/img/BhJ3sB3uk-eSdR1iW4EP3cu0Wi0=/0x0/filters:format(jpeg)/pic3453267.jpg,2,5,100,2013,8.0974,12,
Concordia: Salsa,https://cf.geekdo-images.com/-4HtbGtzFMC14laR8Azj9Q__original/img/HL81zyOsYN4MGnlYkXUxwp4nGso=/0x0/filters:format(jpeg)/pic3882304.jpg,2,5,90,2015,8.31248,2,
Concordia Venus,https://cf.geekdo-images.com/36WIe0ZHkp5OvHOlB-8vog__original/img/4oIeldEZrg5Fi2YAlc5SzldywaA=/0x0/filters:format(jpeg)/pic4356580.jpg,2,6,120,2018,8.28759,1,
Condottiere,https://cf.geekdo-images.com/PZ3Y8nJBWeQzLrCbjFcNFA__original/img/8Bpu1jLH8p2HG7Wr3qvtd_v4LP8=/0x0/filters:format(jpeg)/pic6974400.jpg,2,6,45,1995,6.8775,2,
Connect Four,https://cf.geekdo-images.com/I_ZPIWEvFlrMa8caT4UD-w__original/img/w93rimjstxQr4BVmaZ_Tl5pQGOw=/0x0/filters:format(jpeg)/pic859430.jpg,2,2,10,1974,4.95081,4,
Cosmic Encounter,https://cf.geekdo-images.com/S8cE-Ld7XP5sVz-upKJ-Bg__original/img/c4ZrfOtpp6tDHLyMsKecc2ne370=/0x0/filters:format(jpeg)/pic1521633.jpg,3,5,120,2008,7.52471,2,"Strategy, Bluffing, Negotiation, Science Fiction, Aliens, Alliances"
Cottage Garden,https://cf.geekdo-images.com/7Zk5_GsYycmHYD4RN3kIJQ__original/img/LbvQO9zKGNFn9UKo_adUsarRarQ=/0x0/filters:format(jpeg)/pic3499059.jpg,1,4,60,2016,6.85523,2,
Council of Verona,https://cf.geekdo-images.com/veF92mGEcTaB88DNqRaL_w__original/img/C-x-EFQfxKo5Kfb3iNlrvqlK6hg=/0x0/filters:format(jpeg)/pic1673162.jpg,2,5,20,2013,6.28793,2,
The Crew: Mission Deep Sea,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__original/img/jGWxczXC_VWZofeAmlO_DkB0hCI=/0x0/filters:format(jpeg)/pic5988903.jpg,2,5,20,2021,8.17956,39,
The Crew: The Quest for Planet Nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__original/img/Q-ZkgnuBu9OTBr7J3qnqPjqamAE=/0x0/filters:format(jpeg)/pic5687013.jpg,2,5,20,2019,7.82007,30,
Crusaders: Thy Will Be Done,https://cf.geekdo-images.com/XkWDxerdbSpZ1UtxWv-a7Q__original/img/a9TPfwOQIsH-4D1JNB86qec2-TI=/0x0/filters:format(jpeg)/pic6740264.jpg,2,4,60,2018,7.48223,4,
Crypt,https://cf.geekdo-images.com/Wkr5PpxPAdwM93cbkMSzpA__original/img/HZZoqXBNhjcaym7p5Udvc0Jtzhk=/0x0/filters:format(jpeg)/pic4551004.jpg,1,4,35,2018,6.5803,6,
Cryptid,https://cf.geekdo-images.com/qrPLpAnhFgc470ZRuXlvbg__original/img/QenUCVaFRry4-wlimHmeLn226Bo=/0x0/filters:format(jpeg)/pic4037705.jpg,3,5,50,2018,7.45394,10,
CuBirds,https://cf.geekdo-images.com/FDBUwGFBkniyl8q4Alvq8A__original/img/PQee1I5tS1r2TjNXMj7XR6uCsxE=/0x0/filters:format(jpeg)/pic7491534.jpg,2,5,20,2018,6.92573,4,
Dead of Winter: A Crossroads Game,https://cf.geekdo-images.com/g4mV4BH-ZrhMUVgil-yV1A__original/img/NjrnSg1aeia8I4eETDU3I1Br7a8=/0x0/filters:format(jpeg)/pic3016500.jpg,2,5,120,2014,7.47104,0,"Bluffing, Deduction, Horror, Zombies, Coop, Dice"
