name,image,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
Dead of Winter: The Long Night,https://cf.geekdo-images.com/wpWzYeX4dg5TgNdR9OsxAg__original/img/Cu0M5-DOI29unYaVVm40KDuS-rY=/0x0/filters:format(jpeg)/pic2906832.jpg,2,5,120,2016,7.53667,0,
Deception: Murder in Hong Kong,https://cf.geekdo-images.com/1COY3oeK9aN2_XNimKaNww__original/img/ZzyzlO15ggCfkLg9ckeM4PWNePI=/0x0/filters:format(jpeg)/pic3033330.jpg,4,12,20,2014,7.45696,8,
Decrypto,https://cf.geekdo-images.com/hHZWXnUTMYDd_KTAM6Jwlw__original/img/lL6QJ69UmZT7CeljUcjyA47b-e0=/0x0/filters:format(jpeg)/pic3759421.jpg,3,8,45,2018,7.77261,9,"Part, Deduction, Word Game, Spies"
Detective: City of Angels,https://cf.geekdo-images.com/xWdK1lL-2ZTdzBZGYjjqkw__original/img/952nbRCH-EE0TtcMD_Cpol0tRXQ=/0x0/filters:format(jpeg)/pic3469246.jpg,1,5,150,2019,7.90344,0,"Murder/Mystery, Coop"
Detective: A Modern Crime Board Game,https://cf.geekdo-images.com/wJphcoCCYScWCNkE32D_hw__original/img/qSYnPWdXgggfxYvT03Oa32zSrh0=/0x0/filters:format(jpeg)/pic5756205.jpg,1,5,180,2018,7.67216,0,
Dice Brewing,https://cf.geekdo-images.com/U5dDVPrqcmQQONdQIYs4Ig__original/img/ydrT0ub4gWNQlV9tq2CLxLF_0rU=/0x0/filters:format(png)/pic2230266.png,2,4,45,2014,6.08691,0,
Dinosaur Island,https://cf.geekdo-images.com/hLJv1A1TwrMrLLIJhVpKVA__original/img/LXqkRZSyg3hRMJlUMm2m83gmi_s=/0x0/filters:format(png)/pic3429338.png,1,4,120,2017,7.57475,11,
Disney Villainous: The Worst Takes it All,https://cf.geekdo-images.com/7Ej5V5Dq92QdvVFvISfl_A__original/img/XHykA7cqZ0F4tYiKXw095TvHRno=/0x0/filters:format(jpeg)/pic4216110.jpg,2,6,120,2018,6.96968,4,
Dracula's Feast,https://cf.geekdo-images.com/YYEfCeh-vy2DD6LeTWgcCQ__original/img/D4T_YztatEVpZQqDGT0geI1AsNc=/0x0/filters:format(jpeg)/pic4157021.jpg,4,8,15,2017,6.83865,0,
Dracula's Feast: Cthulhu & Friends,https://cf.geekdo-images.com/eQVKLe2PXK3CZlvkglJ67Q__original/img/QMFGdRcrAKr0u49q5yJVdXBmETE=/0x0/filters:format(jpeg)/pic4157018.jpg,4,10,15,2017,6.67407,0,
Draftosaurus,https://cf.geekdo-images.com/JahbLRZ_jEe8P8gisXUtJw__original/img/Ug7yXzMmgpaqcv7B_lNTXsAk7_g=/0x0/filters:format(jpeg)/pic4447676.jpg,2,5,15,2019,7.10581,16,
Dragon Boats of the Four Seas,https://cf.geekdo-images.com/9eXFvOFu_7ja7EbDdHnrwg__original/img/cOY_oTx68u7eJr-tnUCUrdnGn4Q=/0x0/filters:format(jpeg)/pic4288762.jpg,2,4,45,2019,6.52599,1,
Dragon Brew,https://cf.geekdo-images.com/785AXJRG98bFH64pV_fgZg__original/img/EQguCqBS88vIRf4IdZFXu86njJI=/0x0/filters:format(png)/pic3022777.png,2,4,120,2017,7.33488,1,
Dragon Castle,https://cf.geekdo-images.com/LvBG5jXW8ZFyllrbyJme-A__original/img/u8VQUhndzJDGh1EWdLx4FdsAnWE=/0x0/filters:format(png)/pic3683059.png,1,4,45,2017,7.13016,23,
Dune: Imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg,1,4,120,2020,8.4284,5,
Dungeon Petz,https://cf.geekdo-images.com/7JjAm9RM8E2pbu5KCCbsTQ__original/img/67Yryf6M4Tkv6gDAUIsbqPyhJWA=/0x0/filters:format(jpeg)/pic1103979.jpg,2,4,90,2011,7.40664,0,
Eight-Minute Empire,https://cf.geekdo-images.com/HKj7MIw-zV-AmQ7PfoltRg__original/img/mHUi6z1OzjvW-Dm5BAoNcEXdwXs=/0x0/filters:format(jpeg)/pic1443212.jpg,2,5,20,2012,6.55612,2,
Ethnos,https://cf.geekdo-images.com/UIKUXkcnH3Bd4fjcPGINcA__original/img/IrqDqjjm1LY66Zkw7l4RwppaBBI=/0x0/filters:format(png)/pic3304124.png,2,6,60,2017,7.46213,4,
Euphoria: Build a Better Dystopia,https://cf.geekdo-images.com/aaEdtCTpdlDLTn_tuDuC0g__original/img/6mvmw0I7vDfcKSFg-g9E5F4GEgA=/0x0/filters:format(jpeg)/pic1615561.jpg,2,6,60,2013,7.1911,0,
The Expanse Board Game,https://cf.geekdo-images.com/fy2F4nH0TTGPbsoEx2tQrA__original/img/EdVfLOnLkS_a86LYL503kaayRQI=/0x0/filters:format(jpeg)/pic3536365.jpg,2,4,60,2017,7.18271,2,
Exploding Kittens,https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__original/img/0ciN1VZYifUd0qIDO0e8cGXmiss=/0x0/filters:format(png)/pic2691976.png,2,5,15,2015,6.05889,0,
Explorers of the North Sea,https://cf.geekdo-images.com/2sfZ4twDHEwmfGBsq07b-g__original/img/rRN3rUy5niYHix2aVJiCRoJCnYE=/0x0/filters:format(png)/pic3774971.png,1,4,60,2016,7.28919,7,
Fairy Tale,https://cf.geekdo-images.com/J86NZuK4hEnKWST-fH7LcA__original/img/h3A-Cqc1ritIac-UJWGQhodDRV0=/0x0/filters:format(jpeg)/pic2024738.jpg,2,5,30,2004,6.70928,1,
A Fake Artist Goes to New York,https://cf.geekdo-images.com/5Q5YHxJeVp6PAhfv5Ct0-g__original/img/yRNioltDOtjrTRXa0HHoTTCWNf8=/0x0/filters:format(png)/pic3678404.png,5,10,20,2011,7.14401,27,
Favelas,https://cf.geekdo-images.com/27QhjB1lD0PNqOH2DYQvHg__original/img/0sQdxJpjfddcxg4yNAXJ3vpL6K4=/0x0/filters:format(jpeg)/pic3731002.jpg,2,4,45,2017,6.34769,2,
For Sale,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__original/img/6ib2NLakSlsf69WYwCOe9NNLcsc=/0x0/filters:format(jpeg)/pic1513085.jpg,3,6,30,1997,7.25049,27,
Founders of Gloomhaven,https://cf.geekdo-images.com/0B9ncaeeRvzZFr2kDbNELA__original/img/FvuyfD8c0g4pmJzFaZ1zq9_Tt0Y=/0x0/filters:format(jpeg)/pic3268237.jpg,1,4,120,2018,6.61089,4,
Fresco,https://cf.geekdo-images.com/DCVRR-zA7Jy9wjuZudTZ8w__original/img/dF1pDf3JLgqAdzD9uhy14Pd3yx8=/0x0/filters:format(jpeg)/pic714398.jpg,2,4,60,2010,7.25312,0,
Gaia Project,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png,1,4,150,2017,8.38771,87,"Strategy, Science Fiction, Aliens, Space Exploration, Territory Building"
Ghost Blitz: Spooky Doo,https://cf.geekdo-images.com/sV6IqdyDv3AxPjJycOQ32Q__original/img/ya2mfdCyLOb0STk8t-vhG0g3ES4=/0x0/filters:format(png)/pic3065487.png,2,8,20,2016,6.77248,0,
Gnomes at Midnight,https://cf.geekdo-images.com/2nDfn65DMnf2fMx-1iWcmw__original/img/4JxHcPhCDJUQCugnRb00kSG9954=/0x0/filters:format(png)/pic4358591.png,2,2,10,2019,7.39843,2,
The Godfather: Corleone's Empire,https://cf.geekdo-images.com/umGE4fOLYylHloIvw5bitA__original/img/aeV8Wk1EtLvu4n-ZXAlOAJGmeJk=/0x0/filters:format(jpeg)/pic3364797.jpg,2,5,90,2017,7.52843,2,"Strategy, Economic, Mafia, Movies, Area Control, Auction/Bidding, Card Drafting, Worker Placement"
Grand Austria Hotel,https://cf.geekdo-images.com/GlCmHjdLwv3SqSjv52ToGw__original/img/5vNCdK9mQ0szo_SwSeVQUWnirZ8=/0x0/filters:format(jpeg)/pic6966955.jpg,2,4,120,2015,7.93612,7,
The Great Heartland Hauling Co.,https://cf.geekdo-images.com/IZOWNRAjg8okC5JfGsURfA__original/img/ycj6QgHqeoglHhK8nAxjG4EORM8=/0x0/filters:format(jpeg)/pic1350080.jpg,2,4,30,2013,6.84753,2,
Hanabi,https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__original/img/5vNHZiTEhK4aRDuGXv5KImp9cmQ=/0x0/filters:format(jpeg)/pic2007286.jpg,2,5,25,2010,7.04253,57,"Deduction, Memory, Card Game, Abstract, Coop, Family"
Harry Potter: Hogwarts Battle,https://cf.geekdo-images.com/ugYBvYxyWyx8_BqaFKZlGw__original/img/7ifajkbPyvyn8GUavbNOjWZbNYU=/0x0/filters:format(jpeg)/pic3518231.jpg,2,4,60,2016,7.37645,1,
HATSUDEN,https://cf.geekdo-images.com/P27NHg9OTaveacYXCkXJuQ__original/img/DyamV8Iw8nqUKUE0GcbwUwnWKe8=/0x0/filters:format(jpeg)/pic3575446.jpg,2,2,30,2017,6.40598,0,
Hive Mind,https://cf.geekdo-images.com/CdPotpqnreo8BjI0053MOQ__original/img/hScvBhtH5avBIrXQJLCqGFqHPtQ=/0x0/filters:format(png)/pic6706273.png,3,12,90,2016,7.11984,5,
Imhotep,https://cf.geekdo-images.com/HkAt5n4R8XM0vNozl7fftA__original/img/934t5i7J90wlw6mb6p2m_3u98i0=/0x0/filters:format(jpeg)/pic3029488.jpg,2,4,40,2016,7.14689,28,
Imperial Settlers,https://cf.geekdo-images.com/pRwsvyfsRJ-lWWwVJCdXNg__original/img/Cw8O-7dOaO1sZRy95QGImdSm7p8=/0x0/filters:format(jpeg)/pic2871265.jpg,1,4,90,2014,7.32218,0,
The Isle of Cats,https://cf.geekdo-images.com/AuAheDzhkLufiZFE9JaRNA__original/img/pKq-l1Ms78olHwMbZYMa_x6m-fM=/0x0/filters:format(jpeg)/pic4781085.jpg,1,4,90,2019,7.71558,29,
Isle of Skye: From Chieftain to King,https://cf.geekdo-images.com/GCxsnITFBO1pNXiBYkq_qA__original/img/8uoTbz4B_M1GbT4N3vGN-bhZF2Q=/0x0/filters:format(jpeg)/pic2524838.jpg,2,5,50,2015,7.39726,10,
Istanbul,https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/pHIJibqf-DmlOQD3CfT_rAjGmc0=/0x0/filters:format(jpeg)/pic1885326.jpg,2,5,60,2014,7.54512,3,
It's a Wonderful World,https://cf.geekdo-images.com/od4vDTdXGPSVc-kjLqM11w__original/img/sN8TnSkFGCzNM01b_drFxwYnqlM=/0x0/filters:format(jpeg)/pic4651175.jpg,1,5,60,2019,7.68352,32,
Jaipur,https://cf.geekdo-images.com/_LTujSe_o16nvjDC-J0seA__original/img/zUnAdsgt4dCxvtoRDc_9DHbic0M=/0x0/filters:format(jpeg)/pic5100947.jpg,2,2,30,2009,7.488,14,
Jeju Island,https://cf.geekdo-images.com/G3v4ViYcvw8DuoX4wda38g__original/img/p8HvS3Dt5Gy1p6fuQQnMWXxWZFQ=/0x0/filters:format(jpeg)/pic3017290.jpg,2,4,30,2015,6.4172,0,
Just One,https://cf.geekdo-images.com/ocAuKT9hp99yBY77e4uuPg__original/img/hYCWWUIvO5DnVqx_Ij4JnRIyLHo=/0x0/filters:format(jpeg)/pic5137279.jpg,3,7,60,2018,7.60054,7,
Keyflower,https://cf.geekdo-images.com/HbfgxDJZQnNEZQKvpmJxQg__original/img/HsrtfanhKfXX07zNEm-xZpSbxyY=/0x0/filters:format(jpeg)/pic2278942.jpg,2,6,120,2012,7.72817,0,
Kingdom Builder,https://cf.geekdo-images.com/kJOP_BICVX-88sKqFRh9PQ__original/img/2m6YJhA3JbYe1cNhybRtFJrRECw=/0x0/filters:format(jpeg)/pic1152359.jpg,2,4,45,2011,6.94378,182,
Kingdom Builder: Crossroads,https://cf.geekdo-images.com/rqpI-ulKugcZDqstHEXBow__original/img/D4yOZ30DhIlXTQzRHFNPQ3l0lCY=/0x0/filters:format(jpeg)/pic1550248.jpg,2,5,45,2013,7.5729,0,
Kingdomino,https://cf.geekdo-images.com/3h9W8BfB_rltQ48EBmHliw__original/img/DDk3fDr0FkDpkYAcny5LeekB2qg=/0x0/filters:format(png)/pic3132685.png,2,4,25,2016,7.31339,12,
The Lady and the Tiger,https://cf.geekdo-images.com/qdKy1hoBmVj6PE6YHu-jaQ__original/img/zyVOKvCTMZ1jmzKatSXm0RoxlWY=/0x0/filters:format(jpeg)/pic4088921.jpg,1,6,20,2017,6.31025,3,
Last Will,https://cf.geekdo-images.com/lJ-yg0oUpHLWI6If6Q-JbA__original/img/c14HvRB3EME-flsZmQRIaJa3Nj4=/0x0/filters:format(jpeg)/pic2442432.jpg,2,5,75,2011,7.17068,1,
Last Will: Getting Sacked,https://cf.geekdo-images.com/tvUdzkyc5bne9hnqowl-HQ__original/img/H98XC9XNLqF8wcx5s6QPg1et8B4=/0x0/filters:format(jpeg)/pic1788540.jpg,2,5,75,2013,7.51723,0,
Level 10,https://cf.geekdo-images.com/MEBRXJCPDlRDlCah7qNoyA__original/img/Pnu2XIarbRYcvvPP4-dB5FGqBO8=/0x0/filters:format(jpeg)/pic7245178.jpg,1,5,32,2016,6.52481,1,
Living Forest,https://cf.geekdo-images.com/fPhdfZX9UTLr4-SVgK0zoQ__original/img/ZPdxDPt1jSRQMNnVgn-qIPhNv0E=/0x0/filters:format(jpeg)/pic5899025.jpg,1,4,40,2021,7.28058,37,"Family, Animals, Fantasy, Deck Building, Push Your Luck"
Look at the Stars,https://cf.geekdo-images.com/D1-HKBRnuqHbzY1vt86Vgw__original/img/Ko5oUwfKHwrJwg0h2El4ljONVns=/0x0/filters:format(jpeg)/pic6924820.jpg,2,8,30,2022,6.08249,10,
Lords of Waterdeep,https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__original/img/GWNOhno3y7g0XE00VacKaRxoczk=/0x0/filters:format(jpeg)/pic1116080.jpg,2,5,120,2012,7.73448,0,
Lost Ruins of Arnak,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__original/img/CXqwimJPonWy1oyXEMgPN_ZVmUI=/0x0/filters:format(jpeg)/pic5674958.jpg,1,4,120,2020,8.08119,3,
Luna,https://cf.geekdo-images.com/tMYWtENCa6qdHg3DLIDqcw__original/img/36hPaylXSE-5S4oKm6TPb9ElU6A=/0x0/filters:format(png)/pic2538939.png,1,4,100,2010,7.30053,0,
Luxor,https://cf.geekdo-images.com/C9nhhIS2zRuneMt0FBK1zg__original/img/lUDrmhc8SXxr6zn8dLuS3uIhT4g=/0x0/filters:format(jpeg)/pic3955965.jpg,2,4,45,2018,7.18952,7,
Magic Maze,https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__original/img/hlp96WuBfwiCijcfPddNmfgTq6E=/0x0/filters:format(jpeg)/pic3268473.jpg,1,8,15,2017,6.96255,11,
Mamma,https://cf.geekdo-images.com/QDAJMN4WHHfvx891WMAuxA__original/img/_Mi8hfZW1pdH0YAJzcn_dEAlyII=/0x0/filters:format(jpeg)/pic144977.jpg,2,4,90,2006,4.55909,0,
The Manhattan Project: Energy Empire,https://cf.geekdo-images.com/-aaspZ2Oq1VuAADvbUoeww__original/img/fr4sH1ViKPtRys-gjCY4dY8UuQE=/0x0/filters:format(jpeg)/pic3048617.jpg,1,5,120,2016,7.74848,4,
The Mind,https://cf.geekdo-images.com/q_JGK291hrhnhiRB0667oA__original/img/8VjZEG278faO9JZwzce3v3EKssI=/0x0/filters:format(png)/pic3979766.png,2,4,20,2018,6.76699,9,
Muse,https://cf.geekdo-images.com/6gDD73LSCMrr7ab1LHCXCg__original/img/PD8dhfO_eTUCZrAxFt_ihXOg3Ig=/0x0/filters:format(jpeg)/pic3719954.jpg,2,12,30,2017,6.61431,3,
Mysterium,https://cf.geekdo-images.com/wfeAiLK5n5hD1omhnlYLLA__original/img/uhvKoYDfAsLg-nMkjQcbSJTDFmU=/0x0/filters:format(jpeg)/pic2601683.jpg,2,7,42,2015,7.22394,3,
Mystery of the Temples,https://cf.geekdo-images.com/-pEmS5F1Z94KSA7VQ4Tt9w__original/img/ilA9cs3MDruLyfyT5fCav8cD84k=/0x0/filters:format(jpeg)/pic4124305.jpg,2,4,40,2017,6.55412,1,
Near and Far,https://cf.geekdo-images.com/lm8OOgJupqd3Q-fZ3DsQhw__original/img/hTV2P_-UPntaLbQB3Dl17LYz42A=/0x0/filters:format(jpeg)/pic3605785.jpg,2,4,120,2017,7.68982,5,
Neta-Tanka: Deluxe Edition,https://cf.geekdo-images.com/lA-IGC3C5fghAhlZoQRhwg__original/img/kUtxPwWvOZYMIiAVuGguavdPs1A=/0x0/filters:format(jpeg)/pic4766535.jpg,1,5,90,2019,7.17376,1,
Newton,https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__original/img/4CK6Cx5xj0b0p6r69c7kvDjANGE=/0x0/filters:format(jpeg)/pic4058665.jpg,1,4,90,2018,7.56101,1,
Nidavellir,https://cf.geekdo-images.com/PX7t5xXDLI2XqxoTShLayg__original/img/KYzd3fBTCxrRxEvNvzabNbll7Wg=/0x0/filters:format(jpeg)/pic5039625.jpg,2,5,45,2020,7.60295,47,
Nidavellir: Thingvellir,https://cf.geekdo-images.com/4Dn6EoVDavzS59MHJrrB8Q__original/img/WNEe5nFcoJ4UZnevSwm815ZvCms=/0x0/filters:format(jpeg)/pic5859450.jpg,2,5,45,2020,7.82189,1,
NMBR 9,https://cf.geekdo-images.com/a6j6yZmBJ5J2hcuo0KOW-A__original/img/PtqzpYyf8ENzK589ZVNifR62V3Y=/0x0/filters:format(jpeg)/pic3328269.jpg,1,4,20,2017,6.86069,3,
Not Alone,https://cf.geekdo-images.com/2nPAI9x1rOjj2fq30qRFvQ__original/img/Sc9SmhfC5cLiDdXeY9HOQphCKcQ=/0x0/filters:format(jpeg)/pic3118416.jpg,2,7,45,2016,6.97247,1,
Noxford,https://cf.geekdo-images.com/5Kb8wUe7nsPfTf7FB_6U8A__original/img/YGK4XseuSmp9jCHV_zizW6Qe90Y=/0x0/filters:format(jpeg)/pic3690875.jpg,2,4,40,2016,6.14197,1,
Oceans,https://cf.geekdo-images.com/1J7_qmdohyypZNyvu8B45A__original/img/N4cHTwdthImTVqNrJUN9jQDskRc=/0x0/filters:format(jpeg)/pic4382323.jpg,2,4,90,2020,7.46607,0,
On Mars,https://cf.geekdo-images.com/Nm0Iw8NoiM9V8IsifimGBw__original/img/GNjjsgxq7wYO9pSIteDJe6Sxt00=/0x0/filters:format(jpeg)/pic4357658.jpg,1,4,150,2020,8.20177,1,
One Night Ultimate Werewolf,https://cf.geekdo-images.com/KLDb0vR3w8mfaHgIGF0gHw__original/img/9YTYFSMwiRA01ZRNG0R5e9Rq01E=/0x0/filters:format(jpeg)/pic1809823.jpg,3,10,10,2014,7.06241,3,"Bluffing, Deduction, Party, Horror, Hidden Roles"
Onitama,https://cf.geekdo-images.com/GJKuOCy5HGAYgVH_Rei5mA__original/img/oRsIxp72iv58128KFdqvjG6Gz64=/0x0/filters:format(jpeg)/pic7070194.jpg,2,2,20,2014,7.35281,11,
The Oracle of Delphi,https://cf.geekdo-images.com/tZFlvhcA97SjyNGurpU6Ag__original/img/BdmVT0x8dOy65F2IFSYYTyLSqfU=/0x0/filters:format(jpeg)/pic3574541.jpg,2,4,100,2016,7.30174,13,"Strategy, Mythology, Nautical, Ancient"
Otys,https://cf.geekdo-images.com/s6AjwCWQfx_QMwQu1GjDlA__original/img/aCGyu5_4HT9QAfYUjfKg3F0lpWI=/0x0/filters:format(jpeg)/pic3668630.jpg,1,4,60,2017,6.96264,3,
Pandemic,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__original/img/IsrvRLpUV1TEyZsO5rC-btXaPz0=/0x0/filters:format(jpeg)/pic1534148.jpg,2,4,45,2008,7.54049,0,Coop
Pandemic Legacy: Season 0,https://cf.geekdo-images.com/y0x1zbkpUXjddzWWnhekYw__original/img/2VlfzwT4b8f1s2HqbilcjR-bM3I=/0x0/filters:format(jpeg)/pic5581457.jpg,2,4,60,2020,8.41588,4,"Coop, Legacy"
Pandemic Legacy: Season 1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png,2,4,60,2015,8.5309,0,"Coop, Legacy"
Pandemic Legacy: Season 2,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__original/img/wJiRr7lBmWSKcRS3lPpvKIPMgQQ=/0x0/filters:format(jpeg)/pic3763549.jpg,2,4,60,2017,8.03964,19,"Coop, Legacy"
Patchwork,https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__original/img/B1j7R-slq8wxgC71Sg1F7S1s7Kg=/0x0/filters:format(jpeg)/pic2270442.jpg,2,2,30,2014,7.59962,2,
Photosynthesis,https://cf.geekdo-images.com/HhkYuVxMy-XrRCBWmZ78Eg__original/img/V6bgfuxV2jfmRbz9pJVyK01x6dI=/0x0/filters:format(jpeg)/pic3364832.jpg,2,4,60,2017,6.98275,3,
Point Salad,https://cf.geekdo-images.com/Xy0W9NtEpX0EVjwgxO3IEA__original/img/WdLBZcryNqysYsyC3PNF9FeaPWQ=/0x0/filters:format(png)/pic4621571.png,2,6,30,2019,7.161,7,
Potion Explosion,https://cf.geekdo-images.com/vwjYMFporFhvAU48k73MIw__original/img/6sAfG89R42SJRv2wjiItRTMmcoQ=/0x0/filters:format(jpeg)/pic7298696.jpg,2,4,45,2015,7.12896,27,
Professor Evil and The Citadel of Time,https://cf.geekdo-images.com/NvOXSq-ylkwRtGuxppjpVw__original/img/2pyFrTDfgUeFV5gVFjM2rpOrF9Y=/0x0/filters:format(jpeg)/pic3495278.jpg,2,4,45,2017,6.61161,2,
Pulsar 2849,https://cf.geekdo-images.com/6TOzhqw0BXNxbUZCl0k1sg__original/img/tj-4BHcZxjUmiJpMnPCxXF1g0YY=/0x0/filters:format(jpeg)/pic6285702.jpg,2,4,90,2017,7.66853,3,
